价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
2640,12,9205-D,4室1卫,16/23层,朝阳区,褡裢坡,定福家园北里,地铁：距6号线褡裢坡站200米
2390,10,9471-B,3室1卫,5/6层,朝阳区,潘家园,武圣西里,地铁：距10号线潘家园站450米
2490,11,9760-B,4室1卫,18/22层,朝阳区,褡裢坡,定福家园北里,地铁：距6号线褡裢坡站200米
2540,12,9760-D,4室1卫,18/22层,朝阳区,褡裢坡,定福家园北里,地铁：距6号线褡裢坡站200米
2430,10,116935-C,6室2卫,5/6层,通州区,物资学院路,天赐良园东三期,地铁：距6号线物资学院路站250米
2170,13,120288-A,3室1卫,1/6层,丰台区,和义,久敬佳园一区,地铁：距8号线南段和义站950米
2610,10,121384-C,3室1卫,9/12层,朝阳区,成寿寺,建都家园,地铁：距10号线成寿寺站800米
3680,9,136040-B,2室1卫,4/5层,朝阳区,金台路,金台里,"地铁：距6号线,14号线东段金台路站550米"
3460,22,138500-C,3室1卫,4/6层,昌平区,天通苑,天通苑北二区,地铁：距5号线天通苑站1000米
3120,8,143544-A,2室1卫,4/6层,朝阳区,平乐园,平乐园,地铁：距14号线东段平乐园站450米
,,,,,,,,
2960,10,145609-A,3室1卫,9/28层,海淀区,西二旗,回龙观新村中区,"地铁：距13号线,昌平线西二旗站1100米"
2750,11,12663-B,2室1卫,2/6层,丰台区,角门东,海户西里,地铁：距10号线角门东站750米
1510,10,138941-C,3室1卫,10/22层,房山区,广阳城,城建广悦居,地铁：距房山线广阳城站750米
2400,8,148987-D,4室2卫,4/6层,海淀区,育新,建材城西路85号院,地铁：距8号线育新站1250米
2760,10,149339-A,3室1卫,8/18层,朝阳区,常营,万象新天一区,地铁：距6号线常营站650米
2130,14,152501-B,3室1卫,3/9层,大兴区,黄村西大街,清城南区,地铁：距4号线大兴线黄村西大街站450米
2030,12,156528-C,4室1卫,1/6层,通州区,物资学院路,永顺西里,地铁：距6号线物资学院路站1150米
1490,7,156528-D,4室1卫,1/6层,通州区,物资学院路,永顺西里,地铁：距6号线物资学院路站1150米
,,,,,,,,
3930,54,15295-A,1室1卫,1/22层,通州区,物资学院路,悦澜水岸家园,地铁：距6号线物资学院路站2350米
2780,9,18806-B,3室1卫,25/28层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
2870,10,19334-B,2室1卫,4/6层,丰台区,大红门,建欣苑四里,"地铁：距8号线南段,10号线大红门站550米"
,,,,,,,,
1910,8,19507-B,4室1卫,11/27层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
3010,9,21894-A,3室1卫,4/6层,朝阳区,望京,南湖中园小区,"地铁：距14号线东段,15号线望京站700米"
2840,15,1401-A,4室1卫,12/12层,昌平区,龙泽,国仕汇,地铁：距13号线龙泽站1150米
5580,46,25375-A,1室1卫,6/10层,东城区,景泰,新奥洋房,地铁：距14号线东段景泰站200米
2420,7,26572-B,3室1卫,14/22层,朝阳区,双桥,金隅康惠园,地铁：距八通线双桥站600米
1450,10,29772-D,4室1卫,6/6层,顺义区,石门,澜西园,地铁：距15号线石门站2200米
1450,12,30087-A,4室1卫,8/21层,房山区,篱笆房,天资华府,地铁：距房山线篱笆房站1950米
2370,10,37055-C,3室1卫,1/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
2070,16,38871-C,3室1卫,1/6层,顺义区,石门,前进花园石门苑,地铁：距15号线石门站800米
3290,14,37712-B,2室1卫,6/6层,朝阳区,管庄,双桥东路6号院,地铁：距八通线管庄站500米
,,,,,,,,
2300,12,43379-D,4室1卫,11/11层,朝阳区,孙河,康营小区17区,地铁：距15号线孙河站1450米
1490,10,36335-D,4室1卫,4/6层,顺义区,石门,澜西园,地铁：距15号线石门站2200米
