价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
2940,15,34696-B,6室2卫,6/6层,朝阳区,潘家园,松榆西里,地铁：距10号线潘家园站650米
1700,8,34993-B,4室1卫,6/29层,通州区,通运门,京贸家园,地铁：距6号线通运门站2650米
,,,,,,,,
4630,31,3964-B,2室1卫,10/18层,朝阳区,潘家园,农光南里,地铁：距10号线潘家园站250米
1730,15,44070-C,4室1卫,3/11层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米
1880,12,47887-A,3室1卫,17/23层,通州区,土桥,香溪家园,地铁：距八通线土桥站500米
2030,12,49607-D,4室1卫,13/18层,通州区,次渠南,次渠南里,地铁：距亦庄线次渠南站700米
4090,25,50278-B,4室1卫,7/33层,朝阳区,青年路,国美第一城西区,地铁：距6号线青年路站1250米
1680,7,52540-A,4室1卫,13/18层,顺义区,后沙峪,金地中央世家,地铁：距15号线后沙峪站2650米
3200,9,54258-A,3室1卫,14/18层,朝阳区,东大桥,东大桥路,"地铁：距6号线,17号线东大桥站500米"
1630,10,54265-B,3室1卫,7/18层,门头沟区,桥户营,惠康嘉园五区,地铁：距S1线桥户营站650米
3020,10,55255-D,4室1卫,22/22层,西城区,广安门内,南线里小区,地铁：距7号线广安门内站650米
2300,10,6093-A,4室1卫,6/6层,朝阳区,褡裢坡,定福庄北里1号院,地铁：距6号线褡裢坡站550米
,,,,,,,,
,,,,,,,,
2170,8,70093-B,2室1卫,2/5层,石景山区,古城,十万坪,地铁：距1号线古城站600米
,,,,,,,,
2300,8,6926-C,3室1卫,3/16层,丰台区,新宫,德鑫嘉园三期,"地铁：距4号线大兴线,19号线新宫站850米"
2720,11,74247-D,4室1卫,13/18层,朝阳区,潘家园,潘家园东里,地铁：距10号线潘家园站700米
2360,14,71239-B,3室1卫,7/11层,朝阳区,孙河,康营小区6区,地铁：距15号线孙河站1050米
2490,10,79630-A,2室1卫,2/6层,朝阳区,传媒大学,定福庄西街,地铁：距八通线传媒大学站350米
3290,16,8360-C,3室1卫,2/6层,朝阳区,阜通,花家地西里,地铁：距14号线东段阜通站900米
1680,13,117389-B,3室1卫,2/14层,通州区,通州北关,李庄佳苑,地铁：距6号线通州北关站3400米
3420,44,120964-A,1室1卫,11/21层,昌平区,昌平,力天嘉苑,地铁：距昌平线昌平站750米
,,,,,,,,
,,,,,,,,
4060,13,139072-B,2室1卫,3/6层,海淀区,白石桥南,车公庄西路16号院,"地铁：距6号线,9号线白石桥南站150米"
,,,,,,,,
,,,,,,,,
2860,9,144183-B,3室1卫,1/6层,昌平区,龙泽,龙泽苑西区,地铁：距13号线龙泽站200米
2790,19,144381-A,2室1卫,4/6层,通州区,九棵树,葛布店北里,地铁：距八通线九棵树站300米
1950,8,147912-A,3室1卫,1/6层,丰台区,大井,程庄路3号院,地铁：距14号线西段大井站1100米
1810,11,156691-C,3室1卫,4/6层,通州区,梨园,格兰晴天,地铁：距八通线梨园站750米
3710,26,157448-C,3室1卫,16/20层,昌平区,天通苑,天通苑西二区,地铁：距5号线天通苑站500米
2460,12,16054-B,3室1卫,10/10层,顺义区,花梨坎,吉祥花园,地铁：距15号线花梨坎站450米
,,,,,,,,
2660,12,18611-C,3室1卫,19/33层,朝阳区,北岗子,恒大华府,"地铁：距12号线,平谷线北岗子站700米"
2650,10,18595-B,2室1卫,6/6层,丰台区,海户屯,马公庄,地铁：距8号线南段海户屯站750米
,,,,,,,,
2870,15,1938-B,3室1卫,5/6层,朝阳区,黄渠,常营民族家园N区,地铁：距6号线黄渠站400米
2720,14,21681-C,6室1卫,15/16层,昌平区,天通苑,天通苑北一区,地铁：距5号线天通苑站350米
2140,18,26641-A,2室1卫,6/6层,顺义区,顺义,建新南区,地铁：距15号线顺义站1050米
2440,10,2628-B,3室1卫,11/12层,通州区,物资学院路,新建村小区,地铁：距6号线物资学院路站550米
2200,10,28568-A,3室1卫,5/6层,朝阳区,孙河,康营小区A区,地铁：距15号线孙河站1650米
1610,15,31903-C,3室1卫,10/16层,房山区,篱笆房,加州水郡三期,地铁：距房山线篱笆房站2200米
3040,17,29393-B,2室1卫,3/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
2210,10,33010-B,3室1卫,19/22层,朝阳区,双合,建工双合家园,地铁：距7号线双合站350米
1310,8,33146-C,3室1卫,1/22层,房山区,阎村,天恒乐活城,地铁：距燕房线阎村站200米
2780,9,31934-C,3室1卫,15/28层,丰台区,六里桥,泰禾西府玉苑,"地铁：距10号线,14号线西段西局站950米"
5990,43,35739-A,1室1卫,13/13层,朝阳区,潘家园,潘家园东里,地铁：距10号线潘家园站700米
1910,10,38605-B,3室1卫,5/6层,通州区,果园,潞河中学北街,地铁：距八通线果园站650米
2810,12,38094-B,3室1卫,26/27层,朝阳区,北岗子,将府锦苑,地铁：距14号线东段将台站3550米
,,,,,,,,
,,,,,,,,
2350,9,3925-A,3室1卫,7/29层,朝阳区,青年路,金隅泰和园,地铁：距6号线青年路站1250米
1260,9,42650-A,3室1卫,4/11层,房山区,良乡大学城,东羊庄新村,地铁：距房山线良乡大学城站1200米
,,,,,,,,
,,,,,,,,
2390,13,46645-B,4室1卫,2/4层,朝阳区,小红门,恋日绿岛,地铁：距亦庄线小红门站1600米
2010,9,48071-B,3室1卫,9/22层,通州区,次渠南,次渠家园东里6区,地铁：距亦庄线次渠南站700米
1890,14,42193-D,4室1卫,3/6层,通州区,通州北关,北通集团家属楼,地铁：距6号线通州北关站1450米
