,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,所在楼层,总楼层,地铁数,距离地铁距离
4789,1610,11,27019-A,3室1卫,1/10层,房山区,广阳城,原香小镇一区,距房山线广阳城站2050米,1,10,1,2050
4790,3830,23,25299-B,2室1卫,1/29层,朝阳区,传媒大学,北花园小区,距八通线传媒大学站600米,1,29,1,600
4791,3820,20,28308-B,5室1卫,3/8层,朝阳区,肖村,中海城圣朝菲,距亦庄线肖村站600米,3,8,1,600
4792,3100,14,3191-C,4室1卫,8/34层,昌平区,龙泽,融泽嘉园新2号院,距13号线龙泽站1150米,8,34,1,1150
4793,2840,24,4519-B,4室1卫,6/6层,朝阳区,垡头,垡头翠城馨园东区,距7号线垡头站100米,6,6,1,100
4794,2860,10,80239-C,3室1卫,2/11层,丰台区,公益西桥,城南嘉园益明园,距4号线大兴线公益西桥站300米,2,11,2,300
4795,2440,10,149525-A,3室1卫,3/6层,朝阳区,垡头,垡头西里,距7号线欢乐谷景区站1150米,3,6,1,1150
4796,2390,10,149207-C,3室1卫,13/28层,海淀区,玉泉路,兆丰园,距1号线玉泉路站1850米,13,28,1,1850
4797,2330,15,150333-B,2室1卫,9/20层,通州区,北运河西,合生滨江帝景二期,距6号线北运河西站1650米,9,20,1,1650
4798,2500,6,148484-B,2室1卫,3/5层,朝阳区,四惠东,甘露园西里,"距1号线,八通线四惠东站900米",3,5,2,900
4799,3560,30,150747-B,3室1卫,2/4层,大兴区,旧宫,德林园,距亦庄线旧宫站750米,2,4,1,750
4800,3310,12,152112-B,3室1卫,11/27层,朝阳区,青年路,国美第一城3号院,距6号线青年路站1200米,11,27,1,1200
4801,2740,20,32673-A,2室1卫,4/6层,石景山区,金安桥,模式口南里,"距1号线,6号线苹果园站1500米",4,6,2,1500
4802,2090,9,586-A,5室1卫,1/6层,昌平区,天通苑,天通苑北三区,距5号线天通苑站1700米,1,6,1,1700
4803,3350,10,70248-A,2室1卫,3/6层,朝阳区,酒仙桥,北窑地,距12号线酒仙桥站950米,3,6,1,950
4804,1280,8,116763-C,3室1卫,4/6层,顺义区,顺义,石园东区,距15号线顺义站2350米,4,6,1,2350
4805,5370,46,135043-A,1室1卫,12/28层,朝阳区,传媒大学,妇联小区,距八通线传媒大学站1000米,12,28,1,1000
4806,3550,58,146867-A,1室1卫,1/6层,通州区,万盛西,中泽家园,距7号线万盛西站1350米,1,6,1,1350
4807,2140,8,32090-A,6室2卫,6/6层,朝阳区,孙河,康营小区C区,距15号线孙河站1350米,6,6,1,1350
4808,3110,15,33766-C,3室1卫,7/28层,丰台区,六里桥,华源二里,距9号线六里桥东站1150米,7,28,1,1150
4809,1910,16,48054-A,3室1卫,12/12层,房山区,篱笆房,清雅小区,距房山线篱笆房站850米,12,12,1,850
4810,1860,19,47200-B,3室1卫,8/10层,房山区,广阳城,原香小镇一区,距房山线广阳城站2050米,8,10,1,2050
4811,4250,18,60306-B,2室1卫,3/6层,朝阳区,高家园,高家园一区,距14号线东段望京南站750米,3,6,1,750
4812,2690,16,829-B,3室1卫,12/16层,朝阳区,星火,姚家园东里7号院,"距3号线,20号线星火站800米",12,16,2,800
4813,3100,34,8987-A,1室1卫,9/11层,通州区,果园,晟世嘉园,距八通线果园站1500米,9,11,1,1500
