price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
32474.95,86.0,19.307754,-99.12497,Coyoacán
190122.1,97.0,19.3813197,-99.1996895,Miguel Hidalgo
43202.91,50.0,19.410307,-99.065399,Iztacalco
64857.06,80.0,19.461871,-99.129227,Cuauhtémoc
34387.36,60.0,19.527836,-99.169827,Gustavo A. Madero
18498.39,42.0,,,Iztapalapa
135057.59,79.0,19.3638234,-99.1444714,Benito Juárez
46943.65,80.0,19.359897,-99.18956,Álvaro Obregón
88934.78,45.0,,,Benito Juárez
27555.03,44.0,19.346609,-99.072311,Iztapalapa
60043.36,70.0,19.445816,-99.170462,Miguel Hidalgo
226551.88,60.0,,,Miguel Hidalgo
192305.66,85.0,19.368544,-99.163605,Benito Juárez
81372.59,60.0,19.444865,-99.156877,Cuauhtémoc
163328.09,100.0,19.381729,-99.164986,Benito Juárez
96416.26,62.0,19.377369,-99.198052,Álvaro Obregón
26349.48,42.0,19.444584,-99.174675,Miguel Hidalgo
61881.11,70.0,19.352333,-99.121169,Coyoacán
39567.54,59.0,19.456595,-99.20456,Miguel Hidalgo
106690.12,60.0,19.328833,-99.133163,Coyoacán
50327.52,76.0,19.4113101,-99.064722,Iztacalco
61903.72,44.0,23.634501,-102.552788,Iztacalco
99050.58,110.0,19.443486,-99.211871,Miguel Hidalgo
44783.51,56.0,19.392349,-99.07093,Iztacalco
34351.58,69.0,19.504602,-99.153096,Gustavo A. Madero
34421.87,55.0,19.384327,-99.215523,Álvaro Obregón
120827.65,90.0,19.40099,-99.161174,Benito Juárez
124034.4,,19.4653758,-99.1589568,Azcapotzalco
233438.0,98.0,19.407187,-99.172405,Cuauhtémoc
120652.04,90.0,19.400959,-99.162199,Benito Juárez
34720.39,50.0,19.439037,-99.119514,Venustiano Carranza
83180.59,127.0,19.2990233,-99.0436467,Tláhuac
254378.56,118.0,19.381729,-99.164986,Benito Juárez
99577.45,115.0,19.378233,-99.2054,Álvaro Obregón
44167.29,49.0,19.357981,-99.080612,Iztapalapa
90884.18,70.0,19.445816,-99.170462,Miguel Hidalgo
39514.86,90.0,19.387651,-99.142257,Benito Juárez
25275.11,42.0,19.4306069,-99.0949899,Venustiano Carranza
54583.19,60.0,19.464437,-99.175369,Azcapotzalco
70547.2,42.0,,,Coyoacán
75815.85,70.0,19.334546,-99.207876,Álvaro Obregón
91411.04,197.0,19.39868,-99.132459,Benito Juárez
113566.29,60.0,19.3605334,-99.2267067,Álvaro Obregón
85547.99,85.0,19.347664,-99.125001,Coyoacán
237436.9,117.0,19.3978,-99.175813,Benito Juárez
